55;Biscoito BAUDUCCO Amanteigado Cereais. Iogurte e Mel;Grama;11811;0.2;1;520;73;11;20;0;0;2.8;280
56;Bebida a Base de Soja ADES Morango;Grama;11811;0.01;1;49;11;1;0;0;0;0.09;9
57;Bebida a Base de Soja ADES Original;Grama;11811;0.01;1;40;3;3;2;0;0;0.43;43
58;Biscoito MONTEVÉRGINE Champanhe com Açúcar Cristal;Grama;11811;0.1;1;377;80;7;2;0;0;1;100
59;Bebida a Base de Soja ADES Pessego;Grama;11811;0.01;1;44;10;0;0;0;0;0;0
60;Biscoito TRAKINAS Recheado de Chocolate e Chocolate Branco;Grama;11811;0.08;1;487;70;6;21;0;0;2.47;247
61;Bebida a Base de Soja ADES Uva;Grama;11811;0.01;1;44;10;0;0;0;0;0;0
62;Biscoito Wafer BAUDUCCO de Chocolate Branco;Grama;11811;0.12;1;533;67;4;28;0;0;3.8;380
63;Bebida a Base de Soja ADES Verão Abacaxi com Hortelã;Grama;11811;0.01;1;49;11;1;0;0;0;0.1;10
64;Amandita LACTA de Chocolate;Grama;11811;0.13;1;510;67;7;24;0.02;2;1.23;123
65;Bebida a Base de Soja ADES Verão Limonada Suíça;Grama;11811;0.01;1;49;11;1;0;0;0;0.1;10
66;Bebida a Base de Soja ADES Verão Melancia;Grama;11811;0.01;1;48;11;1;0;0;0;0.13;13
67;Biscoito ADRIA Água e Sal;Grama;11811;0.17;1;440;67;12;14;0.03;3;8.67;867
68;Biscoito ADRIA Crackers Original;Grama;11811;0.17;1;443;67;12;14;0.03;3;5.67;567
69;Bebida a Base de Soja ADES Verão Pêra;Grama;11811;0.01;1;49;11;1;0;0;0;0.12;12
70;Biscoito ADRIA Cream Cracker Folhata;Grama;11811;0.03;1;340;53;6;12;0.02;2;9.6;960
71;Bebida a Base de Soja ADES Verão Pêssego com Tangerina;Grama;11811;0.01;1;48;11;1;0;0;0;0.13;13
72;Biscoito ADRIA Maisena;Grama;11811;0.2;1;447;73;8;13;0;0;3.5;350
73;Biscoito ADRIA Mousse Recheado de Chocolate;Grama;11811;0.08;1;490;67;7;21;0.02;2;3.23;323
74;Bebida a Base de Soja BATAVO Original;Grama;11811;0.01;1;40;3;3;2;0;0;0.35;35
75;Biscoito ADRIA Mousse Recheado de Coco com Chocolate;Grama;11811;0.08;1;493;70;7;22;0.02;2;3.1;310
76;Biscoito ADRIA Mousse Recheado de Limão com Chocolate;Grama;11811;0.08;1;487;67;6;21;0.02;2;2.73;273
77;Bebida a Base de Soja DEL VALLE Abacaxi com Coco;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
78;Bebida a Base de Soja DEL VALLE Goiaba;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
79;Bebida a Base de Soja DEL VALLE Laranja;Grama;11811;0.01;1;57;14;1;0;0;0;0;0
80;Biscoito ADRIA Mousse Recheado de Morango com Chocolate;Grama;11811;0.08;1;500;67;6;24;0.02;2;2.63;263
81;Bebida a Base de Soja DEL VALLE Light Abacaxi com Coco;Grama;11811;0.01;1;10;2;1;0;0;0;0;0
82;Biscoito ADRIA Plug@dos Recheado de Chocolate;Grama;11811;0.1;1;480;67;6;21;0.02;2;2.63;263
83;Bebida a Base de Soja DEL VALLE Light Frutas Vermelhas;Grama;11811;0.01;1;10;2;1;0;0;0;0;0
84;Biscoito ADRIA Plug@dos Recheado de Chocolate Branco;Grama;11811;0.1;1;500;70;5;22;0.02;2;2.67;267
85;Biscoito ADRIA Plug@dos Recheado de Flocos;Grama;11811;0.1;1;490;70;6;21;0.02;2;2.53;253
86;Bebida a Base de Soja DEL VALLE Light Maçã com Canela;Grama;11811;0.01;1;10;2;1;0;0;0;0;0
87;Biscoito ADRIA Plug@dos Recheado de Morango;Grama;11811;0.1;1;493;70;6;21;0.02;2;2.63;263
88;Bebida a Base de Soja DEL VALLE Maçã;Grama;11811;0.01;1;57;14;1;0;0;0;0;0
89;Bebida a Base de Soja DEL VALLE Morango;Grama;11811;0.01;1;50;13;1;0;0;0;0;0
90;Biscoito ADRIA Tortinhas Due Chocolate Branco + Geléia de Frutas Vermelhas;Grama;11811;0.13;1;487;67;7;23;0.03;3;3;300
91;Bebida a Base de Soja DEL VALLE Pêssego;Grama;11811;0.01;1;59;14;1;0;0;0;0;0
92;Biscoito ADRIA Tortinhas Due Trufa + Geléia de Morango;Grama;11811;0.13;1;487;67;7;21;0.03;3;1.67;167
