"6302801";0;"Concha";120
"6302801";0;"Grama";1
"6302801";0;"Pegador";22
"6302801";0;"Porção";36
"6302801";0;"Prato Fundo";240
"6302801";0;"Quilo";1000
"6302801";0;"Xícara de Chá";120
"6302901";0;"Colher de Arroz";32
"6302901";0;"Colher de Sopa";18
"6302901";1;"Concha";160
"6302901";0;"Escumadeira";32
"6302901";0;"Grama";1
"6302901";0;"Porção";48
"6302901";0;"Prato Fundo";320
"6302901";0;"Prato Raso";160
"6302901";0;"Quilo";1000
"6302901";0;"Tigela";160
"6303001";0;"Colher de Arroz";28.7
"6303001";0;"Colher de Sobremesa";12
"6303001";1;"Colher de Sopa";24
"6303001";0;"Concha";57.4
"6303001";0;"Escumadeira";28.7
"6303001";0;"Grama";1
"6303001";0;"Porção";43
"6303001";0;"Quilo";1000
"6303102";0;"Colher de Arroz";35
"6303102";0;"Colher de Chá";4.3
"6303102";0;"Colher de Sobremesa";8.5
"6303102";0;"Colher de Sopa";17
"6303102";1;"Concha";140
"6303102";0;"Copo Americano";140
"6303102";0;"Copo Médio";280
"6303102";0;"Cumbuca";140
"6303102";0;"Escumadeira";35
"6303102";0;"Grama";1
"6303102";0;"Pegador";17
"6303102";0;"Porção";50
"6303102";0;"Prato de Sobremesa";140
"6303102";0;"Prato Fundo";280
"6303102";0;"Prato Raso";140
"6303102";0;"Quilo";1000
"6303102";0;"Tigela";140
"6303102";0;"Xícara de Chá";140
"6303501";0;"Colher de Arroz";60
"6303501";1;"Colher de Sopa";35
"6303501";0;"Concha";150
"6303501";0;"Escumadeira";60
"6303501";0;"Grama";1
"6303501";0;"Prato Fundo";500
"6303501";0;"Quilo";1000
"6304034";0;"Colher de Arroz";35
"6304034";1;"Concha";140
"6304034";0;"Grama";1
"6304034";0;"Quilo";1000
"6304101";0;"Colher de Arroz";35
"6304101";0;"Colher de Sopa";17
"6304101";1;"Concha";140
"6304101";0;"Escumadeira";35
"6304101";0;"Grama";1
"6304101";0;"Porção";50
"6304101";0;"Prato Fundo";280
"6304101";0;"Prato Raso";140
"6304101";0;"Quilo";1000
"6304201";0;"Grama";1
"6304201";1;"Pacote";20
"6304201";0;"Quilo";1000
"6304301";0;"Colher de Arroz";45
"6304301";0;"Colher de Sopa";25
"6304301";1;"Concha";100
"6304301";0;"Escumadeira";85
"6304301";0;"Grama";1
"6304301";0;"Prato Fundo";200
"6304301";0;"Prato Raso";75
"6304301";0;"Quilo";1000
"6304401";1;"Colher de Arroz";63
"6304401";0;"Colher de Sopa";20
"6304401";0;"Concha";117
"6304401";0;"Escumadeira";59
"6304401";0;"Grama";1
"6304401";0;"Quilo";1000
"6304602";0;"Colher de Arroz";35
"6304602";0;"Colher de Sopa";17
"6304602";1;"Concha";140
"6304602";0;"Grama";1
"6304602";0;"Quilo";1000
"6304901";1;"Colher de Sopa";5
"6304901";0;"Grama";1
"6304901";0;"Quilo";1000
"64001011";0;"Grama";1
"64001011";1;"Porção";90
"64001011";0;"Quilo";1000
"64001011";0;"Unidade Pequena";70
"64001012";0;"Colher de Arroz";60
"64001012";0;"Colher de Chá";7.5
"64001012";0;"Colher de Sobremesa";15
"64001012";0;"Colher de Sopa";30
"64001012";0;"Concha";80
"64001012";0;"Escumadeira";80
"64001012";0;"Fatia";16
"64001012";0;"Garfada";30
"64001012";0;"Grama";1
"64001012";0;"Metade";70
"64001012";0;"Pedaço";16
"64001012";0;"Pegador";30
"64001012";0;"Porção";90
"64001012";0;"Prato Raso";100
"64001012";0;"Quilo";1000
"64001012";0;"Rodela";16
"64001012";1;"Unidade";140
"64001012";0;"Unidade Pequena";70
"64001013";0;"Grama";1
"64001013";1;"Porção";90
"64001013";0;"Quilo";1000
"64001013";0;"Unidade Pequena";70
"64001014";0;"Colher de Arroz";60
"64001014";0;"Colher de Sopa";30
"64001014";0;"Fatia";16
"64001014";0;"Grama";1
"64001014";0;"Pedaço";16
"64001014";0;"Porção";90
"64001014";0;"Quilo";1000
"64001014";1;"Unidade";140
"64001014";0;"Unidade Pequena";70
"64001015";0;"Colher de Arroz";50
"64001015";0;"Colher de Sopa";25
"64001015";0;"Concha";65
"64001015";0;"Escumadeira";65
"64001015";0;"Fatia";16
"64001015";0;"Garfada";25
"64001015";0;"Grama";1
"64001015";0;"Pedaço";16
"64001015";0;"Pegador";25
"64001015";0;"Pires";39
"64001015";1;"Porção";110
"64001015";0;"Punhado";45
"64001015";0;"Prato de Sobremesa";78
"64001015";0;"Prato Fundo";156
"64001015";0;"Prato Raso";78
"64001015";0;"Quilo";1000
"64001015";0;"Rodela";16
"64001015";0;"Unidade";140
"64001015";0;"Unidade Pequena";70
"64001017";0;"Colher de Arroz";80
"64001017";1;"Colher de Sopa";30
"64001017";0;"Escumadeira";100
"64001017";0;"Grama";1
"64001017";0;"Pedaço";16
"64001017";0;"Porção";90
"64001017";0;"Quilo";1000
"64001017";0;"Unidade";80
"64001018";0;"Colher de Arroz";80
"64001018";1;"Colher de Sopa";30
"64001018";0;"Concha";100
"64001018";0;"Grama";1
"64001018";0;"Pedaço";16
"64001018";0;"Porção";90
"64001018";0;"Prato Fundo";200
"64001018";0;"Quilo";1000
"64001018";0;"Unidade";80
"64001019";0;"Grama";1
"64001019";0;"Quilo";1000
"64001019";1;"Unidade";80
"640010110";0;"Colher de Sopa";25
"640010110";0;"Grama";1
"640010110";0;"Pedaço";16
"640010110";1;"Porção";110
"640010110";0;"Quilo";1000
"640010111";0;"Grama";1
"640010111";1;"Porção";110
"640010111";0;"Quilo";1000
"640010111";0;"Unidade";140
"640010111";0;"Unidade Pequena";70
"640010113";1;"Colher de Arroz";80
"640010113";0;"Colher de Chá";7.5
"640010113";0;"Colher de Sopa";30
"640010113";0;"Concha";100
"640010113";0;"Escumadeira";100
"640010113";0;"Grama";1
"640010113";0;"Pedaço";16
"640010113";0;"Porção";90
"640010113";0;"Quilo";1000
"640010113";0;"Rodela";16
"640010113";0;"Unidade";80
"640010115";0;"Grama";1
"640010115";1;"Pedaço";16
"640010115";0;"Quilo";1000
"6400101";0;"Colher de Sopa";30
"6400101";0;"Grama";1
"6400101";0;"Porção";90
"6400101";0;"Quilo";1000
"6400101";1;"Unidade";140
"64003032";1;"Colher de Sopa";35
"64003032";0;"Grama";1
"64003032";0;"Quilo";1000
"64003032";0;"Unidade";80
"64003037";1;"Colher de Sopa";35
"64003037";0;"Grama";1
"64003037";0;"Quilo";1000
"640030313";1;"Colher de Sopa";35
"640030313";0;"Grama";1
"640030313";0;"Quilo";1000
"6400303";1;"Colher de Sopa";35
"6400303";0;"Grama";1
"6400303";0;"Quilo";1000
"6400304";1;"Colher de Arroz";55
"6400304";0;"Colher de Sobremesa";30
"6400304";0;"Colher de Sopa";35
"6400304";0;"Concha";110
"6400304";0;"Grama";1
"6400304";0;"Quilo";1000
"6400304";0;"Unidade Pequena";45
"64004011";0;"Grama";1
"64004011";0;"Quilo";1000
"64004011";1;"Unidade";355
"64004012";0;"Colher de Arroz";100
"64004012";0;"Colher de Sopa";42
"64004012";0;"Concha";100
"64004012";0;"Fatia";70
"64004012";0;"Grama";1
"64004012";0;"Metade";177.5
"64004012";1;"Pedaço";70
"64004012";0;"Pegador";42
"64004012";0;"Porção";150
"64004012";0;"Prato de Sobremesa";100
"64004012";0;"Prato Fundo";300
"64004012";0;"Prato Raso";100
"64004012";0;"Quilo";1000
"64004012";0;"Rodela";70
"64004012";0;"Unidade";355
"64004012";0;"Unidade Pequena";266.3
"64004014";0;"Colher de Arroz";100
"64004014";0;"Grama";1
"64004014";1;"Pedaço";70
"64004014";0;"Quilo";1000
"64004014";0;"Rodela";70
"64004014";0;"Unidade";355
